,DIGNIDAD_CODIGO,DIGNIDAD_NOMBRE,CANDIDATO_PROVINCIA_CODIGO,CANDIDATO_PROVINCIA_NOMBRE,CANDIDATO_CANTON_CODIGO,CANDIDATO_CANTON_NOMBRE,OP_CODIGO,CANDIDATO_CODIGO,CANDIDATO_NOMBRE,CANDIDATO_SEXO,CANDIDATO_EDAD,CANDIDATO_ORDEN_LISTA,SUPLENTE1_NOMBRE,SUPLENTE1_SEXO,SUPLENTE1_EDAD,SUPLENTE2_NOMBRE,SUPLENTE2_SEXO,SUPLENTE2_EDAD,CANDIDATO_ESTADO
10,5.0,CONCEJAL MUNICIPAL,9.0,GUAYAS,505.0,EL TRIUNFO,14.0,5095050000027.0,ZUÑIGA HERRERA JHONNY FERNANDO,HOMBRES,45.0,3.0,BERNADE CARDOSO LUIS ALBERTO,HOMBRES,20.0,,,,NO ELECTOS
11,5.0,CONCEJAL MUNICIPAL,17.0,PICHINCHA,60.0,QUITO,24.0,5170600000112.0,SEMPERTEGUI VALLEJO LEONARDO,HOMBRES,20.0,7.0,CASTILLO MALDONADO ANDRES,HOMBRES,20.0,,,,NO ELECTOS
12,5.0,CONCEJAL MUNICIPAL,11.0,LOJA,335.0,GONZANAMA,113350000208.0,5113350000019.0,FLORES SANMARTIN AMADO ENRIQUE,HOMBRES,47.0,1.0,CASTILLO RODRIGUEZ PATRICK HERMEL,HOMBRES,20.0,,,,NO ELECTOS
13,5.0,CONCEJAL MUNICIPAL,13.0,MANABÍ,840.0,PICHINCHA,24.0,5138400000028.0,CARRANZA TUAREZ LENIN RENE,HOMBRES,37.0,1.0,CHINGA CEDEÑO WASHINGTON HUMBERTO,HOMBRES,20.0,,,,NO ELECTOS
14,5.0,CONCEJAL MUNICIPAL,21.0,SUCUMBÍOS,640.0,SUCUMBIOS,10.0,5216400000009.0,NARVAEZ GUERRERO EULODIA CUMANDA,MUJERES,38.0,1.0,CUAYCAN LOPEZ ROMEL   LIBARDO,HOMBRES,20.0,,,,NO ELECTOS
15,5.0,CONCEJAL MUNICIPAL,12.0,LOS RÍOS,515.0,BABAHOYO,14.0,5125150000045.0,CARRASCO LAMILLA MABEL JESSENIA,MUJERES,24.0,5.0,DE LUCCA CRUZ MANUEL FORTUNATO,HOMBRES,20.0,,,,NO ELECTOS
16,5.0,CONCEJAL MUNICIPAL,4.0,CARCHI,15.0,ESPEJO,202.0,5040150000005.0,TORRES VACA WISTON EDUARDO,HOMBRES,33.0,2.0,FIGUEROA TRUJILLO FERNANDO PATRICIO,HOMBRES,20.0,,,,NO ELECTOS
17,5.0,CONCEJAL MUNICIPAL,11.0,LOJA,290.0,CATAMAYO,6.0,5112900000011.0,NARVAEZ FERNANDEZ MARIA ISABEL,MUJERES,41.0,2.0,LEON PALTA CESAR AUGUSTO,HOMBRES,20.0,,,,NO ELECTOS
18,5.0,CONCEJAL MUNICIPAL,12.0,LOS RÍOS,946.0,MOCACHE,5.0,5129460000012.0,AREVALO  ARTEAGA  WALTER APOLINAR,HOMBRES,37.0,3.0,MEZA PORRO GALO AUGUSTO,HOMBRES,20.0,,,,NO ELECTOS
19,5.0,CONCEJAL MUNICIPAL,17.0,PICHINCHA,80.0,RUMINAHUI,24.0,5170800000035.0,SALAZAR VASQUEZ ANDRES,HOMBRES,20.0,2.0,PAZMIÑO MERINO JORGE,HOMBRES,20.0,,,,NO ELECTOS
20,5.0,CONCEJAL MUNICIPAL,1.0,AZUAY,260.0,CUENCA,1.0,5012600000001.0,VINTIMILLA BORRERO MARCELO AUGUSTO,HOMBRES,64.0,1.0,PESANTEZ CUESTA JORGE IVAN,HOMBRES,20.0,,,,NO ELECTOS
21,5.0,CONCEJAL MUNICIPAL,8.0,ESMERALDAS,560.0,ESMERALDAS,11.0,5085600000042.0,VACA GUERRA JAIME ARTURO,HOMBRES,55.0,2.0,PINCAY MINA JUAN LUIS,HOMBRES,20.0,,,,NO ELECTOS
22,5.0,CONCEJAL MUNICIPAL,17.0,PICHINCHA,70.0,MEJIA,10.0,5170700000017.0,QUINGA ARAUJO MARCO VINICIO,HOMBRES,32.0,2.0,QUILLUPANGUI TOAPANTA EDDY PATRICIO,HOMBRES,20.0,,,,NO ELECTOS
23,5.0,CONCEJAL MUNICIPAL,11.0,LOJA,340.0,ESPINDOLA,113400000209.0,5113400000024.0,CASTILLO VILLALTA FREDY LEONARDO,HOMBRES,21.0,3.0,QUIZHPE CORONEL MARCOS BOLIVAR,HOMBRES,20.0,,,,NO ELECTOS
24,5.0,CONCEJAL MUNICIPAL,17.0,PICHINCHA,895.0,PEDRO VICENTE MALDONADO,14.0,5178950000023.0,TAMAY PROAÑO ANGEL VINICIO,HOMBRES,20.0,2.0,ROJAS GAVILANEZ NILO GERMAN,HOMBRES,20.0,,,,NO ELECTOS
25,5.0,CONCEJAL MUNICIPAL,8.0,ESMERALDAS,575.0,QUININDE,24.0,5085750000050.0,VEGA MORILLO YORQUI ERMEL,HOMBRES,41.0,2.0,SOTO AGUILAR EDGAR LEONARDO,HOMBRES,20.0,,,,NO ELECTOS
26,5.0,CONCEJAL MUNICIPAL,10.0,IMBABURA,50.0,PIMAMPIRO,11.0,5100500000013.0,ANDRADE RICHAR HUMBERTO,HOMBRES,31.0,1.0,TOBAR GONZALEZ WILSON LEONARDO,HOMBRES,20.0,,,,NO ELECTOS
27,5.0,CONCEJAL MUNICIPAL,7.0,EL ORO,350.0,MACHALA,24.0,5073500000073.0,ZAMBRANO RICARDO QUERUBIN,HOMBRES,53.0,1.0,VEINTEMILLA LEON ERICK JAVIER,HOMBRES,20.0,,,,NO ELECTOS
28,5.0,CONCEJAL MUNICIPAL,9.0,GUAYAS,430.0,SALITRE,5.0,5094300000008.0,BRITO MARTINEZ FELIX ALBERTO,HOMBRES,27.0,2.0,VERA VELASQUEZ DIOGENES DANIEL,HOMBRES,20.0,,,,NO ELECTOS
29,5.0,CONCEJAL MUNICIPAL,11.0,LOJA,295.0,ZAPOTILLO,6.0,5112950000009.0,RAMIREZ NAVARRO BERTHA CONSUELO,MUJERES,41.0,3.0,VERA VERA WILSON STALIN,HOMBRES,20.0,,,,NO ELECTOS
30,5.0,CONCEJAL MUNICIPAL,11.0,LOJA,300.0,LOJA,11.0,5113000000039.0,ROMAN ZAMBRANO CARMEN ERLINDA,MUJERES,33.0,4.0,ALVARADO NOLE FATIMA MARIELA,MUJERES,20.0,,,,NO ELECTOS
31,5.0,CONCEJAL MUNICIPAL,1.0,AZUAY,990.0,GUACHAPALA,21.0,5019900000019.0,GOMEZ JARA VICENTE ALBERTO,HOMBRES,36.0,1.0,AMBROSI CHUNGATA ELIZABETH DEL ROCIO,MUJERES,20.0,,,,NO ELECTOS
32,5.0,CONCEJAL MUNICIPAL,15.0,NAPO,700.0,ARCHIDONA,150000000201.0,5157000000002.0,CERDA ANDI VICTOR MODESTO,HOMBRES,53.0,2.0,ANDRANGO ATAHUALPA LUCY PAULINA,MUJERES,20.0,,,,NO ELECTOS
33,5.0,CONCEJAL MUNICIPAL,8.0,ESMERALDAS,570.0,MUISNE,7.0,5085700000015.0,GUAGUA PEREZ MAGNOLIA FATIMA,MUJERES,35.0,3.0,BRAVO INTRIAGO CAMILA JOHANNA,MUJERES,20.0,,,,NO ELECTOS
34,5.0,CONCEJAL MUNICIPAL,1.0,AZUAY,280.0,SIGSIG,5.0,5012800000003.0,CHIRIBOGA PESANTEZ RUFO HERMEL,HOMBRES,42.0,3.0,BRITO CALLE LILIAN ANCELMA,MUJERES,20.0,,,,NO ELECTOS
35,5.0,CONCEJAL MUNICIPAL,7.0,EL ORO,585.0,CHILLA,5.0,5075850000003.0,MENDIA MALLA FELICIA ANTONIETA,MUJERES,31.0,3.0,BUENANO LAPO CARMEN BIVERLIN,MUJERES,20.0,,,,NO ELECTOS
36,5.0,CONCEJAL MUNICIPAL,1.0,AZUAY,955.0,SEVILLA DE ORO,202.0,5019550000001.0,ORTIZ ERAS JULIO ABDON,HOMBRES,32.0,1.0,CALLE CORDOVA MARITSA JUDITH,MUJERES,20.0,,,,NO ELECTOS
37,5.0,CONCEJAL MUNICIPAL,11.0,LOJA,305.0,SARAGURO,5.0,5113050000009.0,TAPIA MORA ESPERANZA CATALINA,MUJERES,45.0,3.0,CEVALLOS GONZALEZ NANCY PRICILA,MUJERES,20.0,,,,NO ELECTOS
38,5.0,CONCEJAL MUNICIPAL,11.0,LOJA,335.0,GONZANAMA,10.0,5113350000013.0,CANAR ORDONEZ EDGAR,HOMBRES,37.0,1.0,CEVALLOS TORRES TANIA,MUJERES,20.0,,,,NO ELECTOS
39,5.0,CONCEJAL MUNICIPAL,13.0,MANABÍ,450.0,MANTA,134500000042.0,5134500000067.0,VALENCIA MACIAS MARIO ERNESTO,HOMBRES,53.0,2.0,CHAVEZ PARRAGA JAHAIRA MARIA,MUJERES,20.0,,,,NO ELECTOS
40,5.0,CONCEJAL MUNICIPAL,10.0,IMBABURA,40.0,COTACACHI,18.0,5100400000022.0,FLORES FUERES LUIS RODRIGO,HOMBRES,27.0,1.0,COBOS TERAN CECILIA MARINA,MUJERES,20.0,,,,NO ELECTOS
41,5.0,CONCEJAL MUNICIPAL,21.0,SUCUMBÍOS,640.0,SUCUMBIOS,210000000202.0,5216400000016.0,ANAMA DE LA CRUZ HERMES GONZALO,HOMBRES,29.0,2.0,CUAICAN  LOPEZ VITELMA   ADRIANA,MUJERES,20.0,,,,NO ELECTOS
42,5.0,CONCEJAL MUNICIPAL,4.0,CARCHI,25.0,BOLIVAR,7.0,5040250000008.0,CHAVEZ ORTEGA MARGARITA ELENA,MUJERES,31.0,2.0,CUAMACAS PUEDMAG VIVIANA MARISOL,MUJERES,20.0,,,,NO ELECTOS
43,5.0,CONCEJAL MUNICIPAL,16.0,PASTAZA,680.0,PASTAZA,15.0,5166800000024.0,PIEDRA PIEDRA DARWIN SEGUNDO,HOMBRES,44.0,3.0,DIAS ILLANES PATRICIA LORENA,MUJERES,20.0,,,,NO ELECTOS
44,5.0,CONCEJAL MUNICIPAL,18.0,TUNGURAHUA,155.0,PATATE,180000000201.0,5181550000005.0,AIMARA SIGCHO SELSO RODRIGO,HOMBRES,31.0,2.0,FRANCO GOMEZ FLOR BEATRIZ,MUJERES,20.0,,,,NO ELECTOS
45,5.0,CONCEJAL MUNICIPAL,13.0,MANABÍ,490.0,JUNIN,4.0,5134900000008.0,GUERRERO DAZA DIANA DEL PILAR,MUJERES,20.0,2.0,GARCIA INTRIAGO MARIA DEL CARMEN,MUJERES,20.0,,,,NO ELECTOS
46,5.0,CONCEJAL MUNICIPAL,17.0,PICHINCHA,60.0,QUITO,28.0,5170600000117.0,POMAQUIZA LLANGARI  SEGUNDO JUAN,HOMBRES,43.0,5.0,GUALOTO ACERO  RAQUEL DEYANIRA,MUJERES,20.0,,,,NO ELECTOS
47,5.0,CONCEJAL MUNICIPAL,12.0,LOS RÍOS,540.0,QUEVEDO,125400000206.0,5125400000049.0,PARRALES VERA SOFIA MARGARITA,MUJERES,58.0,4.0,HERRAEZ CEDENO BARBARA GEORGIA,MUJERES,20.0,,,,NO ELECTOS
48,5.0,CONCEJAL MUNICIPAL,3.0,CAÑAR,905.0,DELEG,6.0,5039050000002.0,QUITO PEREZ GLADYS MARIA,MUJERES,24.0,2.0,HERRERA CALLE MARIA DOLORES,MUJERES,20.0,,,,NO ELECTOS
49,5.0,CONCEJAL MUNICIPAL,6.0,CHIMBORAZO,830.0,PALLATANGA,12.0,5068300000019.0,HARO GAVIDIA JUANA CARLOTA,MUJERES,37.0,1.0,HIDALGO BARELA JOHANNA VERONICA,MUJERES,20.0,,,,NO ELECTOS
50,5.0,CONCEJAL MUNICIPAL,1.0,AZUAY,855.0,SAN FERNANDO,7.0,5018550000008.0,LOJA TINTIN ZOILA BEATRIZ,MUJERES,30.0,2.0,INGA CASTRO JULIA MERCEDES,MUJERES,20.0,,,,NO ELECTOS
51,5.0,CONCEJAL MUNICIPAL,8.0,ESMERALDAS,560.0,ESMERALDAS,17.0,5085600000064.0,BENNETT LASTRA EDITH MARIA,MUJERES,36.0,4.0,JAMA SAA MARIA VERONICA,MUJERES,20.0,,,,NO ELECTOS
52,5.0,CONCEJAL MUNICIPAL,19.0,ZAMORA CHINCHIPE,670.0,YANZATZA,10.0,5196700000012.0,VILLACIS SANCHEZ LUIS ANTONIO,HOMBRES,44.0,2.0,JAPON GRANDA MARIA NELVIA,MUJERES,20.0,,,,NO ELECTOS
53,5.0,CONCEJAL MUNICIPAL,6.0,CHIMBORAZO,205.0,COLTA,25.0,5062050000039.0,PUCHA CUJI  JUANA MARIA,MUJERES,22.0,3.0,LLERENA PADILLA ADRIANA  ELIZABETH,MUJERES,20.0,,,,NO ELECTOS
54,5.0,CONCEJAL MUNICIPAL,6.0,CHIMBORAZO,190.0,CHAMBO,7.0,5061900000011.0,RIVERA ROMERO RUTH RAQUEL,MUJERES,28.0,2.0,LUNA GALLEGOS ANGELA ERNESTINA,MUJERES,20.0,,,,NO ELECTOS
55,5.0,CONCEJAL MUNICIPAL,7.0,EL ORO,355.0,SANTA ROSA,11.0,5073550000022.0,VILELA ROSA ELENA,MUJERES,56.0,1.0,LUPU BENAVIDES MARIUXI RAQUEL,MUJERES,20.0,,,,NO ELECTOS
56,5.0,CONCEJAL MUNICIPAL,13.0,MANABÍ,840.0,PICHINCHA,1.0,5138400000003.0,BAREN VELEZ JOSE IDUARTE,HOMBRES,37.0,3.0,MACIAS DELGADO FATIMA PATRICIA,MUJERES,20.0,,,,NO ELECTOS
57,5.0,CONCEJAL MUNICIPAL,9.0,GUAYAS,510.0,NARANJITO,15.0,5095100000027.0,MOLINA ONCE LUIS RIGOBERTO,HOMBRES,46.0,3.0,MALAN YUPA BLANCA PIEDAD,MUJERES,20.0,,,,NO ELECTOS
58,5.0,CONCEJAL MUNICIPAL,9.0,GUAYAS,405.0,SALINAS,4.0,5094050000005.0,RODRIGUEZ SANTA MARIA MARIA LUISA,MUJERES,69.0,2.0,MEDINA ANDRADE AMBAR EMILIA,MUJERES,20.0,,,,NO ELECTOS
59,5.0,CONCEJAL MUNICIPAL,6.0,CHIMBORAZO,195.0,RIOBAMBA,60000000046.0,5061950000098.0,PANCHEZ HERNANDEZ  GEORGINA PIEDAD,MUJERES,32.0,3.0,MEJIA AREVALO  MARIA ELENA,MUJERES,20.0,,,,NO ELECTOS
60,5.0,CONCEJAL MUNICIPAL,13.0,MANABÍ,450.0,MANTA,4.0,5134500000017.0,PILOSO MOREIRA VERONICA ALEXANDRA,MUJERES,25.0,2.0,MENENDEZ ZAMORA JOHANA HAYDEE,MUJERES,20.0,,,,NO ELECTOS
61,5.0,CONCEJAL MUNICIPAL,12.0,LOS RÍOS,535.0,URDANETA,6.0,5125350000007.0,CHANG PIMENTEL EDDIE ALEX,HOMBRES,38.0,1.0,MERA BUSTAMANTE ERRIKA MERCEDES,MUJERES,20.0,,,,NO ELECTOS
62,5.0,CONCEJAL MUNICIPAL,17.0,PICHINCHA,896.0,PUERTO QUITO,24.0,5178960000033.0,MENDOZA RIVADENEIRA MARIA AURELIA,MUJERES,52.0,3.0,MORANTE TUAREZ OLINDA AUXILIADORA,MUJERES,20.0,,,,NO ELECTOS
63,5.0,CONCEJAL MUNICIPAL,18.0,TUNGURAHUA,160.0,QUERO,22.0,5181600000029.0,SANCHEZ ROJAS DORILA GRISELDA,MUJERES,36.0,2.0,NARANJO CHERREZ ALEXANDRA ELIZABETH,MUJERES,20.0,,,,NO ELECTOS
64,5.0,CONCEJAL MUNICIPAL,4.0,CARCHI,10.0,MONTUFAR,40000000041.0,5040100000026.0,MANOSALVAS ENRIQUEZ MARY EULALIA,MUJERES,38.0,2.0,NAVARRETE GUERRON ALEXANDRA ELIZABETH,MUJERES,20.0,,,,NO ELECTOS
65,5.0,CONCEJAL MUNICIPAL,18.0,TUNGURAHUA,140.0,PELILEO,17.0,5181400000030.0,PERRAZO MORALES MARIELA PATRICIA,MUJERES,23.0,3.0,OÑATE ARROBA JENNY ELIZABETH,MUJERES,20.0,,,,NO ELECTOS
66,5.0,CONCEJAL MUNICIPAL,11.0,LOJA,730.0,PINDAL,17.0,5117300000023.0,MERCHAN RAMIREZ SANDRA PATRICIA,MUJERES,27.0,2.0,ORTEGA PENA GLADYS ELIZABETH,MUJERES,20.0,,,,NO ELECTOS
67,5.0,CONCEJAL MUNICIPAL,19.0,ZAMORA CHINCHIPE,775.0,EL PANGUI,10.0,5197750000008.0,VILLEGAS BACULIMA CARLOS RAUL,HOMBRES,49.0,2.0,ORTIZ SAQUINAULA LILA DIANA,MUJERES,20.0,,,,NO ELECTOS
68,5.0,CONCEJAL MUNICIPAL,5.0,COTOPAXI,930.0,SIGCHOS,12.0,5059300000020.0,MORALES PEREZ SEGUNDO XAVIER,HOMBRES,30.0,2.0,OTO PAZMIÑO ANA LUCIA,MUJERES,20.0,,,,NO ELECTOS
69,5.0,CONCEJAL MUNICIPAL,1.0,AZUAY,260.0,CUENCA,5.0,5012600000032.0,DURAN DURAN MARIANA DE JESUS,MUJERES,28.0,4.0,PACHECO CAMPOVERDE NUBE CATALINA,MUJERES,20.0,,,,NO ELECTOS
70,5.0,CONCEJAL MUNICIPAL,6.0,CHIMBORAZO,830.0,PALLATANGA,5.0,5068300000009.0,HEREDIA CASCO DINA LUCRECIA,MUJERES,25.0,3.0,PACHECO TOABANDA DOLORES NARCISA,MUJERES,20.0,,,,NO ELECTOS
71,5.0,CONCEJAL MUNICIPAL,8.0,ESMERALDAS,570.0,MUISNE,30.0,5085700000038.0,SEGOVIA SOLORZANO GINO PATRICIO,HOMBRES,26.0,2.0,PALMA SOLORZANO GLADYS RAMONA,MUJERES,20.0,,,,NO ELECTOS
72,5.0,CONCEJAL MUNICIPAL,2.0,BOLÍVAR,180.0,CHILLANES,7.0,5021800000009.0,BUNAY VINUEZA GLORIA ISABEL,MUJERES,31.0,3.0,PAREDES AVEROS ALICIA ROCIO,MUJERES,20.0,,,,NO ELECTOS
73,5.0,CONCEJAL MUNICIPAL,16.0,PASTAZA,880.0,SANTA CLARA,15.0,5168800000010.0,MAYORGA MORENO WASHINGTON SIMON,HOMBRES,50.0,2.0,PARRA RAMOS MARGOTH ALEXANDRA,MUJERES,20.0,,,,NO ELECTOS
74,5.0,CONCEJAL MUNICIPAL,9.0,GUAYAS,390.0,GUAYAQUIL,22.0,5093900000104.0,DUQUE CEVALLOS EDITH ALEXANDRA,MUJERES,22.0,6.0,PARRA RIVAS MARTHA LISBETH,MUJERES,20.0,,,,NO ELECTOS
75,5.0,CONCEJAL MUNICIPAL,9.0,GUAYAS,510.0,NARANJITO,15.0,5095100000026.0,ZUMBA TIMBELA TERESA DE JESUS,MUJERES,41.0,2.0,PAUTA ROCANO BLANCA LEONOR,MUJERES,20.0,,,,NO ELECTOS
76,5.0,CONCEJAL MUNICIPAL,8.0,ESMERALDAS,575.0,QUININDE,2.0,5085750000001.0,BARAHONA LUIS OSWALDO,HOMBRES,52.0,1.0,PENA VELOZ DEISY JIMENA,MUJERES,20.0,,,,NO ELECTOS
77,5.0,CONCEJAL MUNICIPAL,19.0,ZAMORA CHINCHIPE,660.0,CHINCHIPE,7.0,5196600000008.0,JIMENEZ RODRIGUEZ JOSE ASUNCION,HOMBRES,59.0,2.0,PEÑA JIMENEZ IRALDA,MUJERES,20.0,,,,NO ELECTOS
78,5.0,CONCEJAL MUNICIPAL,1.0,AZUAY,555.0,PUCARA,5.0,5015550000004.0,CHAVEZ BERREZUETA FREDDY ARMAN,HOMBRES,33.0,1.0,PESANTEZ REYES ESTHELA MARINA,MUJERES,20.0,,,,NO ELECTOS
79,5.0,CONCEJAL MUNICIPAL,12.0,LOS RÍOS,515.0,BABAHOYO,24.0,5125150000066.0,ABRIL MONTEROS LAURA ISABEL,MUJERES,47.0,1.0,PIZA VIVAS KATIUSKA ANABELL,MUJERES,20.0,,,,NO ELECTOS
80,5.0,CONCEJAL MUNICIPAL,3.0,CAÑAR,235.0,AZOGUES,2.0,5032350000007.0,VERDUGO HUAZHCO JOHNY MARCELO,HOMBRES,29.0,3.0,PONCE SACOTO MARITHZA PAOLA,MUJERES,20.0,,,,NO ELECTOS
81,5.0,CONCEJAL MUNICIPAL,12.0,LOS RÍOS,515.0,BABAHOYO,6.0,5125150000019.0,SCHULDT NAVARRETE HERNA ESPERANZA,MUJERES,47.0,4.0,RIVERA VERA TANIA CAROLINA,MUJERES,20.0,,,,NO ELECTOS
82,5.0,CONCEJAL MUNICIPAL,1.0,AZUAY,270.0,GIRON,6.0,5012700000007.0,MORA BRAVO GILDA ESTHER,MUJERES,52.0,1.0,ROJAS BRAVO ALICIA MARGOTH,MUJERES,20.0,,,,NO ELECTOS
83,5.0,CONCEJAL MUNICIPAL,11.0,LOJA,320.0,CALVAS,15.0,5113200000023.0,RODRIGUEZ TORRES LIRA BEATRIZ,MUJERES,40.0,2.0,ROMERO RAMOS BETHY MARLENE,MUJERES,20.0,,,,NO ELECTOS
84,5.0,CONCEJAL MUNICIPAL,18.0,TUNGURAHUA,160.0,QUERO,6.0,5181600000012.0,MAYORGA PALACIOS MIRIAN CECILIA,MUJERES,29.0,3.0,ROSERO PALACIOS LOURDES MARIBEL,MUJERES,20.0,,,,NO ELECTOS
85,5.0,CONCEJAL MUNICIPAL,8.0,ESMERALDAS,560.0,ESMERALDAS,80000000041.0,5085600000088.0,PROANO CORTEZ BRENFI ROSARIO,MUJERES,34.0,3.0,SANCHEZ CANCHINGRE BETTY AMELIA,MUJERES,20.0,,,,NO ELECTOS
86,5.0,CONCEJAL MUNICIPAL,6.0,CHIMBORAZO,205.0,COLTA,60000000201.0,5062050000009.0,ATUPANA SAGNAY REBECA,MUJERES,27.0,3.0,SHAGNAY PUCHA ELSA LUCIA,MUJERES,20.0,,,,NO ELECTOS
87,5.0,CONCEJAL MUNICIPAL,18.0,TUNGURAHUA,135.0,AMBATO,18.0,5181350000072.0,YUGCHA PILAMUNGA BLANCA TERESA,MUJERES,37.0,6.0,SISA VILLA MARIA JUANA,MUJERES,20.0,,,,NO ELECTOS
88,5.0,CONCEJAL MUNICIPAL,1.0,AZUAY,990.0,GUACHAPALA,10.0,5019900000014.0,FAREZ TOLEDO PATRICIA,MUJERES,48.0,2.0,TIGRE MEDINA MARIA TRINIDAD,MUJERES,20.0,,,,NO ELECTOS
89,5.0,CONCEJAL MUNICIPAL,4.0,CARCHI,5.0,TULCAN,40000000042.0,5040050000040.0,REINA LIMA MARTHA GUADALUPE,MUJERES,44.0,4.0,VALLEJO DELGADO SONIA GERMANIA,MUJERES,20.0,,,,NO ELECTOS
90,5.0,CONCEJAL MUNICIPAL,17.0,PICHINCHA,85.0,SANTO DOMINGO,11.0,5170850000048.0,ULLAURI  MELVIN DARIO,HOMBRES,42.0,6.0,VINUEZA GUAMAN CARMEN ROSA,MUJERES,20.0,,,,NO ELECTOS
91,5.0,CONCEJAL MUNICIPAL,6.0,CHIMBORAZO,195.0,RIOBAMBA,25.0,5061950000084.0,PAEZ PAZ  MARCIA MARGARITA,MUJERES,25.0,4.0,ZAVALA FONSECA  OLIVIA VANESSA,MUJERES,20.0,,,,NO ELECTOS
92,5.0,CONCEJAL MUNICIPAL,13.0,MANABÍ,445.0,MONTECRISTI,1.0,5134450000003.0,MERO ANCHUNDIA JUAN DOMINGO,HOMBRES,43.0,3.0,BACUSOY MACIAS EDGAR ENRIQUE,HOMBRES,21.0,,,,NO ELECTOS
93,5.0,CONCEJAL MUNICIPAL,14.0,MORONA SANTIAGO,590.0,MORONA,1.0,5145900000003.0,VILLARREAL CAMBIZACA MAX ROBERTINO,HOMBRES,20.0,3.0,BERMEO POLO LEON BENIGNO,HOMBRES,21.0,,,,NO ELECTOS
94,5.0,CONCEJAL MUNICIPAL,16.0,PASTAZA,685.0,MERA,160000000201.0,5166850000002.0,VILLACRES SANCHEZ OSCAR REINALDO,HOMBRES,63.0,2.0,BUENANO QUISHPE CARLOS OTONIEL,HOMBRES,21.0,,,,NO ELECTOS
95,5.0,CONCEJAL MUNICIPAL,11.0,LOJA,320.0,CALVAS,15.0,5113200000024.0,PINZON MASACHE LUIS ANGEL,HOMBRES,58.0,3.0,CHAMBA SANCHEZ ANTONIO RAMIRO,HOMBRES,21.0,,,,NO ELECTOS
96,5.0,CONCEJAL MUNICIPAL,4.0,CARCHI,995.0,SAN PEDRO DE HUACA,202.0,5049950000005.0,PAILLACHO POZO SEGUNDO ANTONIO,HOMBRES,36.0,2.0,ENRIQUEZ POZO EDISON ROMULO,HOMBRES,21.0,,,,NO ELECTOS
97,5.0,CONCEJAL MUNICIPAL,6.0,CHIMBORAZO,830.0,PALLATANGA,15.0,5068300000023.0,GUAILLA GUZNAY LUIS,HOMBRES,52.0,2.0,GAVILANES TENEMAZA FREDDY ROBERTO,HOMBRES,21.0,,,,NO ELECTOS
